customer_id,order_date,product_name,product_category,quantity,unit_price,total_amount
C0425,2023-01-07,Bluetooth Speaker,Electronics,1,29.0,29.0
C0103,2023-01-08,Power Bank,Electronics,1,44.32,44.32
C0109,2023-01-08,Running Shoes,Fashion,2,102.51,205.02
C0136,2023-01-08,Self-Help Guide,Books,1,24.62,24.62
C0160,2023-01-08,Kitchen Scale,Home,1,28.81,28.81
C0225,2023-01-08,Coffee Maker,Home,1,93.06,93.06
C0228,2023-01-08,LED Desk Lamp,Home,1,44.48,44.48
C0242,2023-01-08,Storage Bins,Home,1,18.18,18.18
C0255,2023-01-08,Coffee Maker,Home,1,53.0,53.0
C0272,2023-01-08,Bluetooth Speaker,Electronics,2,30.16,60.32
C0279,2023-01-08,Baseball Cap,Fashion,1,18.63,18.63
C0289,2023-01-08,Business Strategy Book,Books,1,18.01,18.01
C0326,2023-01-08,Wireless Charger,Electronics,1,19.77,19.77
C0376,2023-01-08,Kitchen Scale,Home,2,18.12,36.24
C0400,2023-01-08,Coffee Maker,Home,1,54.74,54.74
C0403,2023-01-08,Wireless Charger,Electronics,3,22.86,68.58
C0422,2023-01-08,Denim Jeans,Fashion,1,37.9,37.9
C0084,2023-01-09,LED Desk Lamp,Home,2,49.12,98.24
C0101,2023-01-09,LED Desk Lamp,Home,3,43.89,131.67
C0116,2023-01-09,Wireless Charger,Electronics,1,33.46,33.46
C0123,2023-01-09,Cookbook,Books,1,35.64,35.64
C0151,2023-01-09,Kitchen Scale,Home,1,28.67,28.67
C0158,2023-01-09,Power Bank,Electronics,3,39.41,118.23
C0255,2023-01-09,Screen Protector,Electronics,3,7.21,21.63
C0419,2023-01-09,Air Purifier,Home,3,127.45,382.35
C0488,2023-01-09,Running Shoes,Fashion,1,63.43,63.43
C0496,2023-01-09,Wireless Headphones,Electronics,1,64.3,64.3
C0550,2023-01-09,Coffee Maker,Home,1,58.24,58.24
C0045,2023-01-10,Car Phone Mount,Electronics,1,63.68,63.68
C0046,2023-01-10,Wireless Headphones,Electronics,3,241.45,724.35
C0051,2023-01-10,Baseball Cap,Fashion,1,27.8,27.8
C0056,2023-01-10,Fiction Novel,Books,3,18.79,56.37
C0058,2023-01-10,Self-Help Guide,Books,1,24.4,24.4
C0066,2023-01-10,Cookbook,Books,1,36.66,36.66
C0087,2023-01-10,Vacuum Cleaner,Home,1,181.75,181.75
C0131,2023-01-10,Storage Bins,Home,4,18.28,73.12
C0137,2023-01-10,Coffee Maker,Home,1,94.39,94.39
C0246,2023-01-10,Smartphone Case,Electronics,2,21.79,43.58
C0250,2023-01-10,Running Shoes,Fashion,1,100.86,100.86
C0340,2023-01-10,Coffee Maker,Home,2,56.61,113.22
C0340,2023-01-10,Bluetooth Speaker,Electronics,2,33.61,67.22
C0393,2023-01-10,Smartphone Case,Electronics,1,13.19,13.19
C0415,2023-01-10,Storage Bins,Home,1,10.43,10.43
C0450,2023-01-10,Fiction Novel,Books,1,10.8,10.8
C0473,2023-01-10,Cookbook,Books,1,20.41,20.41
C0480,2023-01-10,Business Strategy Book,Books,3,17.97,53.91
C0501,2023-01-10,Wireless Headphones,Electronics,1,64.17,64.17
C0055,2023-01-11,Self-Help Guide,Books,2,24.3,48.6
C0162,2023-01-11,Air Purifier,Home,1,228.77,228.77
C0284,2023-01-11,Denim Jeans,Fashion,4,40.67,162.68
C0289,2023-01-11,Wireless Headphones,Electronics,3,61.53,184.59
C0294,2023-01-11,Coffee Maker,Home,2,54.58,109.16
C0307,2023-01-11,Casual T-Shirt,Fashion,2,14.68,29.36
C0311,2023-01-11,Self-Help Guide,Books,1,15.19,15.19
C0353,2023-01-11,Self-Help Guide,Books,2,13.46,26.92
C0366,2023-01-11,Car Phone Mount,Electronics,1,16.98,16.98
C0406,2023-01-11,Casual T-Shirt,Fashion,1,14.09,14.09
C0520,2023-01-11,Smartphone Case,Electronics,3,14.34,43.02
C0026,2023-01-12,Business Strategy Book,Books,4,61.63,246.52
C0027,2023-01-12,Kitchen Scale,Home,1,70.27,70.27
C0058,2023-01-12,Cookbook,Books,1,33.93,33.93
C0100,2023-01-12,Cookbook,Books,1,37.17,37.17
C0110,2023-01-12,Baseball Cap,Fashion,4,27.34,109.36
C0114,2023-01-12,Sunglasses,Fashion,1,55.88,55.88
C0152,2023-01-12,Casual T-Shirt,Fashion,3,25.95,77.85
C0197,2023-01-12,Smartphone Case,Electronics,1,24.62,24.62
C0235,2023-01-12,Coffee Maker,Home,3,88.19,264.57
C0274,2023-01-12,Business Strategy Book,Books,2,18.49,36.98
C0334,2023-01-12,Bluetooth Speaker,Electronics,2,35.06,70.12
C0411,2023-01-12,Bluetooth Speaker,Electronics,2,35.02,70.04
C0454,2023-01-12,Kitchen Scale,Home,1,18.04,18.04
C0480,2023-01-12,Smartphone Case,Electronics,3,12.92,38.76
C0488,2023-01-12,Self-Help Guide,Books,2,15.02,30.04
C0496,2023-01-12,Running Shoes,Fashion,1,67.69,67.69
C0021,2023-01-13,Storage Bins,Home,4,37.74,150.96
C0043,2023-01-13,Air Purifier,Home,2,471.09,942.18
C0076,2023-01-13,Running Shoes,Fashion,1,114.08,114.08
C0104,2023-01-13,Bluetooth Speaker,Electronics,4,56.87,227.48
C0119,2023-01-13,Coffee Maker,Home,1,104.45,104.45
C0148,2023-01-13,USB-C Cable,Electronics,1,15.79,15.79
C0164,2023-01-13,Wireless Headphones,Electronics,1,114.95,114.95
C0257,2023-01-13,Self-Help Guide,Books,1,13.44,13.44
C0268,2023-01-13,Vacuum Cleaner,Home,1,105.76,105.76
C0312,2023-01-13,Casual T-Shirt,Fashion,1,13.28,13.28
C0320,2023-01-13,Sunglasses,Fashion,4,36.41,145.64
C0391,2023-01-13,LED Desk Lamp,Home,2,28.07,56.14
C0394,2023-01-13,Denim Jeans,Fashion,1,41.06,41.06
C0455,2023-01-13,Kitchen Scale,Home,1,17.39,17.39
C0466,2023-01-13,Casual T-Shirt,Fashion,3,14.83,44.49
C0472,2023-01-13,Air Purifier,Home,2,146.74,293.48
C0474,2023-01-13,Screen Protector,Electronics,1,7.33,7.33
C0528,2023-01-13,Fiction Novel,Books,2,9.63,19.26
C0531,2023-01-13,Vacuum Cleaner,Home,2,106.0,212.0
C0027,2023-01-14,Vacuum Cleaner,Home,1,346.17,346.17
C0038,2023-01-14,Running Shoes,Fashion,1,205.19,205.19
C0051,2023-01-14,Screen Protector,Electronics,4,12.14,48.56
C0062,2023-01-14,Coffee Maker,Home,3,104.56,313.68
C0131,2023-01-14,Car Phone Mount,Electronics,1,29.72,29.72
C0181,2023-01-14,Business Strategy Book,Books,1,29.86,29.86
C0324,2023-01-14,LED Desk Lamp,Home,1,27.92,27.92
C0330,2023-01-14,Cookbook,Books,3,20.4,61.2
C0387,2023-01-14,Power Bank,Electronics,1,26.42,26.42
C0470,2023-01-14,Cookbook,Books,2,19.84,39.68
C0473,2023-01-14,USB-C Cable,Electronics,1,8.84,8.84
C0493,2023-01-14,Business Strategy Book,Books,1,16.01,16.01
C0542,2023-01-14,Wireless Headphones,Electronics,3,65.11,195.33
C0081,2023-01-15,Baseball Cap,Fashion,1,27.08,27.08
C0089,2023-01-15,Smartphone Case,Electronics,1,26.14,26.14
C0135,2023-01-15,Kitchen Scale,Home,1,29.59,29.59
C0148,2023-01-15,Wireless Charger,Electronics,1,36.26,36.26
C0222,2023-01-15,Business Strategy Book,Books,1,29.65,29.65
C0233,2023-01-15,Kitchen Scale,Home,2,33.12,66.24
C0258,2023-01-15,Air Purifier,Home,1,133.77,133.77
C0274,2023-01-15,Running Shoes,Fashion,1,65.38,65.38
C0300,2023-01-15,Vacuum Cleaner,Home,2,111.76,223.52
C0307,2023-01-15,Air Purifier,Home,2,145.23,290.46
C0421,2023-01-15,Running Shoes,Fashion,2,64.21,128.42
C0467,2023-01-15,Business Strategy Book,Books,1,16.07,16.07
C0476,2023-01-15,Self-Help Guide,Books,1,12.86,12.86
C0517,2023-01-15,LED Desk Lamp,Home,2,26.03,52.06
C0017,2023-01-16,Casual T-Shirt,Fashion,1,45.1,45.1
C0048,2023-01-16,Smartphone Case,Electronics,1,48.54,48.54
C0056,2023-01-16,Self-Help Guide,Books,1,22.27,22.27
C0109,2023-01-16,Wireless Charger,Electronics,1,36.58,36.58
C0135,2023-01-16,Smartphone Case,Electronics,1,25.55,25.55
C0155,2023-01-16,Fiction Novel,Books,1,19.19,19.19
C0190,2023-01-16,Fiction Novel,Books,2,17.98,35.96
C0219,2023-01-16,Fiction Novel,Books,2,19.45,38.9
C0321,2023-01-16,LED Desk Lamp,Home,1,26.98,26.98
C0400,2023-01-16,LED Desk Lamp,Home,3,30.65,91.95
C0414,2023-01-16,Fiction Novel,Books,2,9.98,19.96
C0435,2023-01-16,Casual T-Shirt,Fashion,2,14.47,28.94
C0439,2023-01-16,Denim Jeans,Fashion,4,42.78,171.12
C0448,2023-01-16,USB-C Cable,Electronics,4,9.07,36.28
C0449,2023-01-16,Fiction Novel,Books,2,11.15,22.3
C0542,2023-01-16,Business Strategy Book,Books,1,19.22,19.22
C0098,2023-01-17,Business Strategy Book,Books,1,31.17,31.17
C0109,2023-01-17,LED Desk Lamp,Home,1,49.95,49.95
C0128,2023-01-17,Running Shoes,Fashion,2,114.15,228.3
C0132,2023-01-17,Vacuum Cleaner,Home,1,183.85,183.85
C0151,2023-01-17,Self-Help Guide,Books,1,23.2,23.2
C0172,2023-01-17,Business Strategy Book,Books,1,29.97,29.97
C0183,2023-01-17,Car Phone Mount,Electronics,1,30.98,30.98
C0187,2023-01-17,Casual T-Shirt,Fashion,1,24.24,24.24
C0246,2023-01-17,Bluetooth Speaker,Electronics,4,54.86,219.44
C0277,2023-01-17,Business Strategy Book,Books,4,17.3,69.2
C0314,2023-01-17,LED Desk Lamp,Home,1,27.09,27.09
C0314,2023-01-17,Sunglasses,Fashion,1,37.5,37.5
C0356,2023-01-17,Vacuum Cleaner,Home,1,107.81,107.81
C0389,2023-01-17,Kitchen Scale,Home,3,19.68,59.04
C0394,2023-01-17,Smartphone Case,Electronics,1,14.52,14.52
C0406,2023-01-17,Screen Protector,Electronics,1,6.67,6.67
C0448,2023-01-17,Cookbook,Books,2,20.63,41.26
C0484,2023-01-17,USB-C Cable,Electronics,4,9.61,38.44
C0485,2023-01-17,USB-C Cable,Electronics,1,9.16,9.16
C0490,2023-01-17,Baseball Cap,Fashion,1,16.68,16.68
C0069,2023-01-18,Bluetooth Speaker,Electronics,1,56.01,56.01
C0094,2023-01-18,Business Strategy Book,Books,2,29.87,59.74
C0123,2023-01-18,Storage Bins,Home,1,17.35,17.35
C0162,2023-01-18,Coffee Maker,Home,1,100.58,100.58
C0204,2023-01-18,Self-Help Guide,Books,1,21.78,21.78
C0242,2023-01-18,Vacuum Cleaner,Home,3,176.52,529.56
C0376,2023-01-18,Denim Jeans,Fashion,1,43.39,43.39
C0392,2023-01-18,Wireless Headphones,Electronics,1,64.13,64.13
C0414,2023-01-18,Wireless Headphones,Electronics,1,64.59,64.59
C0438,2023-01-18,Fiction Novel,Books,3,9.55,28.65
C0455,2023-01-18,Wireless Charger,Electronics,1,22.32,22.32
C0526,2023-01-18,Screen Protector,Electronics,1,7.18,7.18
C0537,2023-01-18,Power Bank,Electronics,4,25.85,103.4
C0032,2023-01-19,Car Phone Mount,Electronics,1,63.48,63.48
C0095,2023-01-19,Sunglasses,Fashion,2,57.74,115.48
C0098,2023-01-19,Storage Bins,Home,3,18.6,55.8
C0105,2023-01-19,Fiction Novel,Books,2,17.34,34.68
C0159,2023-01-19,Smartphone Case,Electronics,2,25.25,50.5
C0217,2023-01-19,Screen Protector,Electronics,1,12.2,12.2
C0220,2023-01-19,Running Shoes,Fashion,1,111.44,111.44
C0249,2023-01-19,Wireless Charger,Electronics,2,38.63,77.26
C0328,2023-01-19,Denim Jeans,Fashion,2,43.98,87.96
C0333,2023-01-19,Storage Bins,Home,1,10.28,10.28
C0345,2023-01-19,Fiction Novel,Books,1,11.07,11.07
C0352,2023-01-19,Business Strategy Book,Books,1,19.23,19.23
C0362,2023-01-19,Baseball Cap,Fashion,1,16.67,16.67
C0436,2023-01-19,LED Desk Lamp,Home,1,30.3,30.3
C0492,2023-01-19,LED Desk Lamp,Home,1,28.34,28.34
C0515,2023-01-19,Self-Help Guide,Books,1,13.77,13.77
C0525,2023-01-19,Wireless Charger,Electronics,1,19.72,19.72
C0028,2023-01-20,Business Strategy Book,Books,1,57.38,57.38
C0130,2023-01-20,Cookbook,Books,1,35.58,35.58
C0148,2023-01-20,Power Bank,Electronics,2,41.3,82.6
C0304,2023-01-20,Coffee Maker,Home,1,51.2,51.2
C0009,2023-01-21,Bluetooth Speaker,Electronics,2,123.95,247.9
C0018,2023-01-21,Coffee Maker,Home,1,183.59,183.59
C0037,2023-01-21,Baseball Cap,Fashion,2,68.67,137.34
C0038,2023-01-21,Coffee Maker,Home,1,207.63,207.63
C0047,2023-01-21,Business Strategy Book,Books,1,60.61,60.61
C0059,2023-01-21,Smartphone Case,Electronics,1,22.14,22.14
C0076,2023-01-21,Wireless Headphones,Electronics,1,115.51,115.51
C0101,2023-01-21,Cookbook,Books,1,32.44,32.44
C0118,2023-01-21,Baseball Cap,Fashion,3,32.13,96.39
C0155,2023-01-21,Sunglasses,Fashion,2,54.84,109.68
C0189,2023-01-21,Wireless Headphones,Electronics,1,102.04,102.04
C0205,2023-01-21,Screen Protector,Electronics,3,11.39,34.17
C0220,2023-01-21,Screen Protector,Electronics,2,12.52,25.04
C0268,2023-01-21,Cookbook,Books,4,20.48,81.92
C0300,2023-01-21,Self-Help Guide,Books,1,15.32,15.32
C0301,2023-01-21,Coffee Maker,Home,1,57.02,57.02
C0346,2023-01-21,Cookbook,Books,1,20.62,20.62
C0407,2023-01-21,Wireless Headphones,Electronics,4,56.88,227.52
C0428,2023-01-21,Coffee Maker,Home,2,58.23,116.46
C0430,2023-01-21,Car Phone Mount,Electronics,1,15.79,15.79
C0158,2023-01-22,Cookbook,Books,1,34.36,34.36
C0204,2023-01-22,Business Strategy Book,Books,2,31.77,63.54
C0215,2023-01-22,Fiction Novel,Books,4,17.2,68.8
C0224,2023-01-22,LED Desk Lamp,Home,1,52.17,52.17
C0246,2023-01-22,Power Bank,Electronics,2,38.17,76.34
C0273,2023-01-22,Car Phone Mount,Electronics,2,17.81,35.62
C0283,2023-01-22,Coffee Maker,Home,1,52.47,52.47
C0303,2023-01-22,Business Strategy Book,Books,2,18.99,37.98
C0311,2023-01-22,Self-Help Guide,Books,1,13.9,13.9
C0351,2023-01-22,LED Desk Lamp,Home,1,30.39,30.39
C0373,2023-01-22,Fiction Novel,Books,2,9.82,19.64
C0400,2023-01-22,Casual T-Shirt,Fashion,2,14.28,28.56
C0429,2023-01-22,Storage Bins,Home,1,11.11,11.11
C0130,2023-01-23,Air Purifier,Home,2,224.57,449.14
C0139,2023-01-23,Kitchen Scale,Home,1,29.39,29.39
C0152,2023-01-23,Self-Help Guide,Books,1,24.27,24.27
C0220,2023-01-23,Vacuum Cleaner,Home,2,196.29,392.58
C0222,2023-01-23,Coffee Maker,Home,1,86.68,86.68
C0233,2023-01-23,Casual T-Shirt,Fashion,4,24.79,99.16
C0307,2023-01-23,Wireless Headphones,Electronics,3,58.01,174.03
C0344,2023-01-23,Coffee Maker,Home,1,52.55,52.55
C0350,2023-01-23,Running Shoes,Fashion,1,63.77,63.77
C0391,2023-01-23,Kitchen Scale,Home,1,19.52,19.52
C0405,2023-01-23,Fiction Novel,Books,1,10.71,10.71
C0438,2023-01-23,Coffee Maker,Home,3,52.25,156.75
C0462,2023-01-23,Power Bank,Electronics,1,24.51,24.51
C0525,2023-01-23,Smartphone Case,Electronics,2,13.9,27.8
C0532,2023-01-23,Coffee Maker,Home,2,54.89,109.78
C0014,2023-01-24,Vacuum Cleaner,Home,1,345.13,345.13
C0024,2023-01-24,Cookbook,Books,1,81.56,81.56
C0063,2023-01-24,Smartphone Case,Electronics,1,21.95,21.95
C0081,2023-01-24,Denim Jeans,Fashion,1,73.6,73.6
C0104,2023-01-24,Fiction Novel,Books,1,18.82,18.82
C0136,2023-01-24,Kitchen Scale,Home,1,28.27,28.27
C0221,2023-01-24,Power Bank,Electronics,1,43.49,43.49
C0349,2023-01-24,Baseball Cap,Fashion,1,18.55,18.55
C0384,2023-01-24,Vacuum Cleaner,Home,1,109.33,109.33
C0402,2023-01-24,Smartphone Case,Electronics,2,13.05,26.1
C0498,2023-01-24,Baseball Cap,Fashion,3,16.54,49.62
C0502,2023-01-24,Storage Bins,Home,1,10.6,10.6
C0070,2023-01-25,Fiction Novel,Books,1,16.95,16.95
C0107,2023-01-25,Smartphone Case,Electronics,3,22.89,68.67
C0150,2023-01-25,Coffee Maker,Home,2,96.13,192.26
C0179,2023-01-25,Kitchen Scale,Home,2,31.68,63.36
C0196,2023-01-25,Smartphone Case,Electronics,1,22.08,22.08
C0239,2023-01-25,Power Bank,Electronics,1,38.1,38.1
C0347,2023-01-25,Cookbook,Books,1,19.42,19.42
C0362,2023-01-25,Vacuum Cleaner,Home,1,98.57,98.57
C0381,2023-01-25,USB-C Cable,Electronics,2,8.41,16.82
C0404,2023-01-25,Business Strategy Book,Books,3,15.81,47.43
C0404,2023-01-25,Self-Help Guide,Books,1,14.4,14.4
C0446,2023-01-25,Denim Jeans,Fashion,2,40.35,80.7
C0496,2023-01-25,Business Strategy Book,Books,1,17.26,17.26
C0005,2023-01-26,Self-Help Guide,Books,1,47.75,47.75
C0021,2023-01-26,Business Strategy Book,Books,3,58.21,174.63
C0127,2023-01-26,Cookbook,Books,1,38.1,38.1
C0158,2023-01-26,Vacuum Cleaner,Home,1,186.57,186.57
C0165,2023-01-26,Smartphone Case,Electronics,1,24.23,24.23
C0269,2023-01-26,Air Purifier,Home,2,142.23,284.46
C0306,2023-01-26,Vacuum Cleaner,Home,1,105.52,105.52
C0317,2023-01-26,Self-Help Guide,Books,1,12.96,12.96
C0347,2023-01-26,Fiction Novel,Books,1,9.8,9.8
C0384,2023-01-26,Car Phone Mount,Electronics,2,16.59,33.18
C0428,2023-01-26,Wireless Headphones,Electronics,1,64.27,64.27
C0515,2023-01-26,USB-C Cable,Electronics,1,9.68,9.68
C0546,2023-01-26,Self-Help Guide,Books,1,14.14,14.14
C0059,2023-01-27,Cookbook,Books,1,33.28,33.28
C0156,2023-01-27,Cookbook,Books,1,34.29,34.29
C0250,2023-01-27,Sunglasses,Fashion,3,64.71,194.13
C0343,2023-01-27,Smartphone Case,Electronics,3,13.63,40.89
C0346,2023-01-27,Casual T-Shirt,Fashion,1,13.24,13.24
C0455,2023-01-27,Bluetooth Speaker,Electronics,1,31.14,31.14
C0495,2023-01-27,Wireless Charger,Electronics,1,22.47,22.47
C0550,2023-01-27,Air Purifier,Home,2,143.67,287.34
C0008,2023-01-28,Air Purifier,Home,1,468.37,468.37
C0117,2023-01-28,LED Desk Lamp,Home,3,44.48,133.44
C0122,2023-01-28,Car Phone Mount,Electronics,1,27.25,27.25
C0122,2023-01-28,Car Phone Mount,Electronics,1,31.11,31.11
C0160,2023-01-28,Business Strategy Book,Books,1,32.95,32.95
C0213,2023-01-28,Fiction Novel,Books,1,16.91,16.91
C0225,2023-01-28,Fiction Novel,Books,1,17.69,17.69
C0291,2023-01-28,Screen Protector,Electronics,1,6.98,6.98
C0299,2023-01-28,Denim Jeans,Fashion,1,43.31,43.31
C0371,2023-01-28,Sunglasses,Fashion,1,36.25,36.25
C0402,2023-01-28,Car Phone Mount,Electronics,2,15.92,31.84
C0423,2023-01-28,Wireless Charger,Electronics,2,22.87,45.74
C0430,2023-01-28,Storage Bins,Home,1,10.26,10.26
C0529,2023-01-28,Business Strategy Book,Books,1,16.7,16.7
C0548,2023-01-28,Cookbook,Books,1,20.86,20.86
C0549,2023-01-28,Wireless Headphones,Electronics,2,61.11,122.22
C0011,2023-01-29,Fiction Novel,Books,2,37.7,75.4
C0022,2023-01-29,Bluetooth Speaker,Electronics,1,124.87,124.87
C0047,2023-01-29,Power Bank,Electronics,1,80.53,80.53
C0119,2023-01-29,Self-Help Guide,Books,2,25.22,50.44
C0183,2023-01-29,Screen Protector,Electronics,2,11.7,23.4
C0286,2023-01-29,Casual T-Shirt,Fashion,1,14.44,14.44
C0292,2023-01-29,Sunglasses,Fashion,2,34.23,68.46
C0371,2023-01-29,LED Desk Lamp,Home,2,27.6,55.2
C0391,2023-01-29,Denim Jeans,Fashion,2,43.85,87.7
C0440,2023-01-29,Business Strategy Book,Books,1,15.8,15.8
C0461,2023-01-29,Casual T-Shirt,Fashion,1,14.05,14.05
C0462,2023-01-29,Self-Help Guide,Books,1,13.5,13.5
C0176,2023-01-30,Smartphone Case,Electronics,3,22.66,67.98
C0179,2023-01-30,Denim Jeans,Fashion,1,75.74,75.74
C0271,2023-01-30,Denim Jeans,Fashion,1,43.31,43.31
C0311,2023-01-30,USB-C Cable,Electronics,2,9.18,18.36
C0353,2023-01-30,Wireless Charger,Electronics,1,22.26,22.26
C0358,2023-01-30,Air Purifier,Home,2,132.81,265.62
C0411,2023-01-30,Business Strategy Book,Books,1,17.45,17.45
C0447,2023-01-30,Coffee Maker,Home,2,56.92,113.84
C0465,2023-01-30,Wireless Headphones,Electronics,1,68.74,68.74
C0515,2023-01-30,Denim Jeans,Fashion,1,44.5,44.5
C0520,2023-01-30,Casual T-Shirt,Fashion,4,13.38,53.52
C0009,2023-01-31,Car Phone Mount,Electronics,2,62.81,125.62
C0030,2023-01-31,Casual T-Shirt,Fashion,2,52.02,104.04
C0043,2023-01-31,Running Shoes,Fashion,1,233.29,233.29
C0064,2023-01-31,Smartphone Case,Electronics,1,22.59,22.59
C0104,2023-01-31,LED Desk Lamp,Home,1,45.73,45.73
C0147,2023-01-31,Business Strategy Book,Books,2,29.22,58.44
C0153,2023-01-31,Sunglasses,Fashion,2,55.54,111.08
C0159,2023-01-31,Fiction Novel,Books,1,19.25,19.25
C0191,2023-01-31,Screen Protector,Electronics,1,12.54,12.54
C0218,2023-01-31,Self-Help Guide,Books,1,24.33,24.33
C0356,2023-01-31,Vacuum Cleaner,Home,1,96.7,96.7
C0400,2023-01-31,Vacuum Cleaner,Home,1,113.27,113.27
C0500,2023-01-31,Bluetooth Speaker,Electronics,1,32.02,32.02
C0516,2023-01-31,Self-Help Guide,Books,1,14.89,14.89
C0070,2023-02-01,Baseball Cap,Fashion,4,28.47,113.88
C0109,2023-02-01,Fiction Novel,Books,2,18.1,36.2
C0188,2023-02-01,Denim Jeans,Fashion,1,67.5,67.5
C0216,2023-02-01,Business Strategy Book,Books,2,31.5,63.0
